npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
PA0090131,BERYL ACRES STP,152 VALLEYVIEW RD,SCENERY HILL,PA,15360-1851,40.106944,-80.093889,7,5,20241,no_formal_federal_action_since_2023-05;has_informal_action
KY0023892,SHARPE ELEMENTARY SCHOOL,8400 US 68,BENTON,KY,42025,36.97423,-88.46755,34,11,20123,no_formal_federal_action_since_2023-05;has_informal_action
ILG640205,MATTOON EATER TREATMENT PLANT,2941 LAKE ROAD,MATTOON,IL,61938,39.4175,-88.428333,33,5,20073,no_formal_federal_action_since_2023-05;no_informal_action
CTP002317,CONSOLIDATED IND. ACQUISITION,677 MIXVILLE ROAD,CHESHIRE,CT,06410,41.522087,-72.932662,8,3,20092,no_formal_federal_action_since_2023-05;has_informal_action
LAG110336,"ON-SITE CONCRETE SOLUTIONS, LLC",21215 HWY 23,SULPHUR,LA,70083,29.594344,-89.859331,5,5,20252,no_formal_federal_action_since_2023-05;no_informal_action
WIR05IA0C,HOBART QUARRY,451 CTH EE,DEPERE,WI,54115,44.439271,-88.174787,3,3,20254,no_formal_federal_action_since_2023-05;has_informal_action
NC0086991,SANCHEZ DRIVE WTP,SANCHEZ DR,LUMBERTON,NC,28358,34.584444,-79.050556,35,8,20133,no_formal_federal_action_since_2023-05;has_informal_action
PA0032166,DELAWARE VALLEY SR HIGH SCHOOL,236 ROUTE 6 AND 209,MILFORD,PA,18337-9454,41.3475,-74.741111,19,10,20202,no_formal_federal_action_since_2023-05;has_informal_action
OH0091634,MECCA WWTP NO 1,5927 STATE RTE 46,CORTLAND,OH,44410,41.37971,-80.73862,13,3,20123,no_formal_federal_action_since_2023-05;has_informal_action
AKG528836,"PACIFIC SEAFOOD - KODIAK, LLC - SOK",111 W. MARINE WAY,KODIAK,AK,99615,57.7861,-152.405,19,19,20214,no_formal_federal_action_since_2023-05;has_informal_action
WV0099392,SUGARTREE SURFACE MINE,US 119 SOUTH SHAFFER ROAD,MADISON,WV,25130,38.0842,-81.9025,38,24,20171,no_formal_federal_action_since_2023-05;no_informal_action
PA0021547,ORWIGSBURG MUN SEW AUTH,S LIBERTY ST & ROUTE 61,ORWIGSBURG,PA,17961,40.642778,-76.107222,6,3,20211,no_formal_federal_action_since_2023-05;has_informal_action
ILG640225,COUNTRY TYME ESTATES WTP,1301 E LEVERETT RD,CHAMPAIGN,IL,61822,40.188056,-88.218333,10,3,20084,no_formal_federal_action_since_2023-05;no_informal_action
IA0021580,EMMETSBURG CITY OF STP,4552 BURNS ROAD,EMMETSBURG,IA,50536,43.09506,-94.68833,34,10,20143,no_formal_federal_action_since_2023-05;has_informal_action
MAG912169,55 INDIA STREET,55 INDIA STREET,BOSTON,MA,02110,42.357851,-71.052250,4,4,20253,no_formal_federal_action_since_2023-05;no_informal_action
WV1020510,GUYAN SURFACE MINE,CR 14,YOLYN,WV,25654,37.8125,-81.7764,30,9,20171,no_formal_federal_action_since_2023-05;no_informal_action
LAG540965,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- PENN'S PLACE",END OF PEN DR,WALKER,LA,70000,30.461111,-90.857222,98,98,20021,no_formal_federal_action_since_2023-05;no_informal_action
MN0001937,AMERICAN CRYSTAL SUGAR - EAST GRAND FORKS,US HIGHWAY 2E,EAST GRAND FORKS,MN,56721,47.927222,-97.006667,11,9,20224,no_formal_federal_action_since_2023-05;no_informal_action
LAG542103,BRIDGETS PLACE TRAILER PARK,9128 FLORIDA BLVD,WALKER,LA,70785,30.484806,-90.894917,7,5,20223,no_formal_federal_action_since_2023-05;no_informal_action
COX634001,PINE LAKE VILLAGE,7200 E HWY 14,FORT COLLINS,CO,80524,40.580226,-104.921574,30,29,20191,no_formal_federal_action_since_2023-05;has_informal_action
